,CCC,CCD,CDC,CDD,DCC,DCD,DDC,DDD
0,0.127,0.126,0.128,0.107,0.131,0.133,0.125,0.123
0,0.127,0.126,0.128,0.106,0.131,0.133,0.125,0.124
0,0.127,0.126,0.127,0.107,0.131,0.133,0.125,0.124
0,0.127,0.125,0.127,0.107,0.132,0.133,0.125,0.124
0,0.127,0.125,0.127,0.107,0.132,0.133,0.125,0.124
0,0.127,0.125,0.127,0.107,0.132,0.133,0.125,0.124
0,0.127,0.125,0.127,0.108,0.132,0.133,0.125,0.123
0,0.127,0.125,0.127,0.108,0.132,0.133,0.125,0.123
0,0.127,0.125,0.127,0.108,0.132,0.133,0.125,0.123
0,0.127,0.125,0.127,0.108,0.132,0.134,0.124,0.123
0,0.127,0.125,0.127,0.108,0.132,0.134,0.124,0.123
0,0.127,0.124,0.127,0.108,0.132,0.134,0.125,0.123
0,0.127,0.124,0.127,0.108,0.132,0.134,0.125,0.123
0,0.127,0.124,0.127,0.108,0.132,0.134,0.125,0.123
0,0.127,0.123,0.128,0.108,0.132,0.134,0.125,0.123
0,0.127,0.123,0.128,0.108,0.132,0.134,0.125,0.123
0,0.127,0.123,0.128,0.108,0.132,0.134,0.125,0.123
0,0.128,0.122,0.128,0.108,0.132,0.134,0.125,0.123
0,0.128,0.122,0.128,0.108,0.132,0.134,0.125,0.123
0,0.128,0.122,0.128,0.108,0.132,0.134,0.125,0.123
0,0.128,0.122,0.128,0.108,0.132,0.134,0.125,0.123
0,0.128,0.122,0.128,0.108,0.132,0.134,0.125,0.123
0,0.128,0.122,0.128,0.108,0.132,0.134,0.125,0.123
0,0.128,0.123,0.128,0.108,0.132,0.134,0.124,0.123
0,0.128,0.123,0.128,0.108,0.132,0.134,0.124,0.123
0,0.128,0.123,0.128,0.108,0.132,0.134,0.124,0.123
0,0.128,0.123,0.128,0.108,0.132,0.134,0.124,0.123
0,0.128,0.123,0.128,0.108,0.132,0.134,0.124,0.123
0,0.128,0.123,0.128,0.108,0.132,0.134,0.124,0.123
0,0.128,0.123,0.128,0.108,0.132,0.134,0.124,0.123
0,0.128,0.123,0.128,0.108,0.132,0.134,0.124,0.123
0,0.128,0.123,0.128,0.108,0.132,0.134,0.124,0.123
0,0.128,0.123,0.128,0.108,0.132,0.134,0.124,0.123
0,0.128,0.123,0.128,0.108,0.132,0.134,0.124,0.123
0,0.127,0.123,0.128,0.108,0.132,0.134,0.124,0.124
0,0.128,0.123,0.128,0.107,0.132,0.134,0.124,0.124
0,0.128,0.123,0.128,0.107,0.132,0.134,0.124,0.124
0,0.127,0.123,0.128,0.107,0.132,0.135,0.124,0.124
0,0.127,0.123,0.128,0.107,0.132,0.135,0.124,0.124
0,0.127,0.123,0.128,0.107,0.132,0.135,0.124,0.124
0,0.127,0.123,0.128,0.107,0.132,0.135,0.124,0.124
0,0.127,0.123,0.128,0.107,0.132,0.135,0.124,0.124
0,0.127,0.123,0.128,0.108,0.132,0.134,0.124,0.124
0,0.127,0.123,0.128,0.108,0.132,0.134,0.124,0.124
0,0.127,0.124,0.128,0.108,0.132,0.134,0.124,0.123
0,0.127,0.123,0.128,0.108,0.133,0.134,0.124,0.123
0,0.127,0.123,0.128,0.108,0.133,0.134,0.124,0.123
0,0.127,0.123,0.128,0.108,0.133,0.134,0.124,0.123
0,0.127,0.122,0.129,0.108,0.133,0.134,0.124,0.123
0,0.127,0.122,0.129,0.108,0.134,0.134,0.124,0.122
0,0.127,0.122,0.129,0.108,0.134,0.134,0.124,0.122
0,0.127,0.122,0.129,0.108,0.134,0.134,0.124,0.122
0,0.127,0.122,0.129,0.108,0.134,0.134,0.124,0.122
0,0.127,0.123,0.129,0.108,0.133,0.134,0.124,0.122
0,0.127,0.122,0.129,0.108,0.133,0.134,0.125,0.122
0,0.127,0.122,0.129,0.108,0.133,0.134,0.125,0.122
0,0.126,0.122,0.129,0.109,0.133,0.134,0.125,0.122
0,0.126,0.122,0.129,0.109,0.133,0.134,0.125,0.122
0,0.126,0.122,0.129,0.109,0.133,0.134,0.125,0.122
